Employee_Number,Age,Age_Group,Attrition,Business_Travel,Daily_Rate,Department,Distance_From_Home,Education,Education_Field,Environment_Satisfaction,Gender,Hourly_Rate,Job_Involvement,Job_Level,Job_Role,Job_Satisfaction,Marital_Status,Monthly_Rate,Num_Companies_Worked,Over_Time,Percent_Salary_Hike,Performance_Rating,Relationship_Satisfaction,Stock_Option_Level,Total_Working_Years,Training_Times_Last_Year,Work_Life_Balance,Years_At_Company,Years_Since_Last_Promotion,Years_With_Curr_Manager,Date_Birth,Remote_Work,Satisfaction_Group
73,33,26-35,False,Unknown,515,Research & Development,1,2,Life Sciences,1,F,98,3,3, Research Director ,4,Single,15146,1,True,0.12,3,3,0,15,1,3,15,8,12,1990,True,A
2078,36,36-45,False,Unknown,1223,Research & Development,8,3,Unknown,3,F,59,3,3, Healthcare Representative ,3,Divorced,8202,1,Unknown,0.13,3,2,3,17,2,3,17,12,8,1987,True,A
820,47,46-55,False,Unknown,202,Unknown,2,2,Other,3,F,33,3,4, Manager ,4,Married,12982,1,Unknown,0.11,3,3,1,11,3,2,26,3,0,1976,False,A
2079,36,36-45,False,Travel Rarely,928,Sales,42,2,Life Sciences,4,M,56,3,2, Sales Executive ,4,Unknown,2823,1,Unknown,0.14,3,4,1,18,1,3,18,4,11,1987,True,A
2080,35,26-35,False,Unknown,607,Research & Development,9,3,Life Sciences,4,F,66,2,3, Manufacturing Director ,3,Married,23457,1,True,0.2,4,2,1,17,2,3,17,5,15,1988,False,A
2081,52,46-55,True,Unknown,266,Unknown,2,1,Unknown,1,F,57,1,5, Manager ,4,Married,25846,1,False,0.15,3,4,1,33,3,3,32,6,9,1971,True,A
1294,36,36-45,False,Unknown,429,Research & Development,2,4,Life Sciences,3,F,53,3,2, Manufacturing Director ,2,Single,2323,9,True,0.11,3,4,0,18,2,3,16,5,12,1987,False,B
2082,33,26-35,False,Travel Rarely,589,Research & Development,28,4,Life Sciences,2,M,79,3,2, Laboratory Technician ,3,Married,22949,1,Unknown,0.12,3,2,1,15,3,3,15,5,7,1990,True,A
1774,34,26-35,False,Non Travel,99999,Sales,10,3,Life Sciences,4,M,87,3,2, Sales Executive ,3,Unknown,12313,1,True,0.14,3,3,1,15,3,3,15,0,7,1989,True,A
1815,41,36-45,False,Unknown,99999,Sales,37,1,Unknown,4,F,81,3,3, Sales Executive ,3,Divorced,26458,0,Unknown,0.13,3,4,1,11,3,4,22,13,5,1982,True,A
1993,47,46-55,False,Unknown,1180,Research & Development,25,3,Medical,1,M,84,3,3, Healthcare Representative ,3,Unknown,13084,2,Unknown,0.23,4,2,0,25,3,3,17,12,11,1976,True,A
32,53,46-55,False,Travel Rarely,1282,Unknown,5,3,Unknown,3,F,58,3,5, Manager ,3,Unknown,10735,4,Unknown,0.11,3,4,1,26,3,2,14,4,8,1970,True,A
100,35,26-35,False,Unknown,776,Sales,1,4,Marketing,3,M,32,2,2, Sales Executive ,1,Single,23016,0,False,0.14,3,2,0,16,2,3,15,2,8,1988,False,B
2083,34,26-35,False,Travel Rarely,665,Research & Development,6,4,Other,1,F,41,3,2, Research Scientist ,3,Single,12482,1,Unknown,0.14,3,3,0,16,3,3,16,2,10,1989,True,A
244,46,46-55,False,Travel Rarely,526,Sales,1,2,Unknown,2,F,92,3,3, Sales Executive ,1,Divorced,2137,1,False,0.25,4,3,3,24,2,3,24,15,7,1977,True,B
327,43,36-45,False,Unknown,1034,Unknown,16,3,Unknown,4,F,80,3,4, Manager ,4,Married,7744,5,Unknown,0.22,4,3,1,22,3,3,17,1,9,1980,True,A
373,36,36-45,False,Unknown,1403,Research & Development,6,3,Life Sciences,4,M,47,3,1, Laboratory Technician ,4,Married,20251,0,Unknown,0.11,3,3,1,16,4,3,15,10,11,1987,True,A
2084,60,56-65,False,Travel Frequently,1499,Sales,28,3,Unknown,3,F,80,2,3, Sales Executive ,1,Married,2845,4,False,0.19,3,4,0,22,5,4,18,13,11,1963,True,B
729,40,36-45,False,Travel Frequently,580,Sales,5,4,Unknown,4,M,48,2,3, Sales Executive ,1,Married,23772,5,True,0.21,4,3,1,20,2,3,18,1,12,1983,False,B
830,32,26-35,False,Travel Rarely,859,Research & Development,4,3,Unknown,3,F,98,2,2, Manufacturing Director ,3,Married,19124,1,False,0.12,3,3,1,14,3,3,14,6,8,1991,False,A
2085,41,36-45,False,Travel Rarely,263,Research & Development,35,3,Unknown,4,M,59,3,1, Laboratory Technician ,1,Single,3119,2,True,0.13,3,3,0,20,3,3,18,2,17,1982,True,B
981,53,46-55,False,Unknown,1376,Unknown,2,2,Medical,3,M,99999,3,4, Manager ,3,Divorced,13938,6,False,0.13,3,3,1,22,3,4,17,15,2,1970,False,A
1042,36,36-45,True,Travel Rarely,885,Research & Development,16,4,Unknown,3,F,43,4,1, Laboratory Technician ,1,Single,8269,1,Unknown,0.16,3,3,0,18,1,3,17,15,14,1987,True,B
1080,46,46-55,False,Unknown,1003,Research & Development,8,4,Life Sciences,4,F,74,2,2, Research Scientist ,1,Divorced,21029,8,True,0.23,4,1,3,11,2,3,16,1,7,1977,False,B
1995,38,36-45,False,Travel Rarely,1321,Sales,1,4,Unknown,4,M,86,3,2, Sales Executive ,2,Married,7636,0,False,0.15,3,1,2,16,3,3,15,5,8,1985,True,B
145,51,46-55,False,Unknown,99999,Research & Development,1,4,Unknown,1,F,30,2,3, Healthcare Representative ,1,Single,25796,3,Unknown,0.2,4,3,0,23,1,2,13,12,8,1972,True,B
158,43,36-45,False,Unknown,394,Unknown,26,2,Unknown,3,M,92,3,4, Manager ,4,Married,19494,1,True,0.12,3,4,2,25,3,4,25,4,12,1980,True,A
391,37,36-45,False,Unknown,1372,Research & Development,1,3,Life Sciences,4,F,42,3,1, Research Scientist ,4,Single,15881,1,False,0.12,3,2,0,11,3,3,17,5,7,1986,True,A
436,32,26-35,False,Travel Rarely,99999,Sales,8,2,Technical Degree,3,F,65,2,2, Sales Executive ,2,Married,24624,1,True,0.11,3,4,0,11,2,3,13,11,9,1991,True,B
2086,38,36-45,False,Unknown,1333,Research & Development,1,3,Unknown,4,F,80,3,3, Research Director ,1,Married,16292,1,Unknown,0.13,3,2,1,15,3,3,15,5,11,1985,False,B
1527,46,46-55,False,Unknown,228,Unknown,3,3,Life Sciences,3,F,51,3,4, Manager ,2,Unknown,11380,8,False,0.12,3,4,1,23,2,4,13,5,1,1977,True,B
2087,35,26-35,True,Travel Rarely,737,Sales,10,3,Medical,4,M,55,2,3, Sales Executive ,1,Married,21530,9,Unknown,0.17,3,3,0,15,3,3,13,6,0,1988,False,B
1866,43,36-45,False,Unknown,823,Unknown,6,3,Medical,1,F,81,2,5, Manager ,3,Married,22539,7,False,0.13,3,4,0,21,2,3,16,6,14,1980,True,A
2026,56,56-65,False,Non Travel,667,Research & Development,1,4,Life Sciences,3,M,57,3,2, Healthcare Representative ,3,Divorced,26236,1,False,0.21,3,1,1,11,2,2,13,1,9,1967,True,A
2088,36,36-45,False,Non Travel,301,Sales,15,4,Marketing,4,M,88,1,2, Sales Executive ,4,Divorced,10436,1,False,0.24,4,1,1,11,4,2,15,11,11,1987,True,A
107,38,36-45,False,Unknown,573,Research & Development,6,3,Medical,2,F,79,1,2, Research Scientist ,4,Unknown,15717,7,Unknown,0.12,3,4,3,17,3,3,13,1,9,1985,True,A
170,49,46-55,False,Unknown,99999,Research & Development,26,4,Medical,3,F,96,3,2, Manufacturing Director ,1,Unknown,5549,1,False,0.14,3,3,0,16,2,2,15,5,11,1974,False,B
2089,39,36-45,False,Travel Rarely,1329,Sales,4,4,Life Sciences,4,F,47,2,2, Sales Executive ,3,Married,14590,4,Unknown,0.14,3,3,1,17,1,4,15,5,9,1984,True,A
215,40,36-45,False,Unknown,630,Sales,4,4,Unknown,3,M,67,2,3, Sales Executive ,4,Married,8552,7,False,0.11,3,1,1,15,2,2,12,2,11,1983,True,A
304,36,36-45,False,Unknown,99999,Research & Development,5,2,Unknown,4,M,62,3,2, Laboratory Technician ,2,Single,9945,8,False,0.16,3,4,0,16,3,4,13,3,7,1987,True,B
529,37,36-45,False,Unknown,1063,Research & Development,25,5,Unknown,2,F,72,3,2, Research Scientist ,3,Married,23866,3,True,0.15,3,1,2,15,2,3,13,10,7,1986,False,A
691,35,26-35,False,Unknown,1017,Research & Development,6,4,Unknown,2,M,82,1,2, Research Scientist ,4,Unknown,19368,1,Unknown,0.13,3,2,0,11,3,3,17,11,8,1988,True,A
692,33,26-35,False,Travel Frequently,1296,Research & Development,6,3,Life Sciences,3,M,99999,3,2, Healthcare Representative ,4,Divorced,5335,3,False,0.23,4,3,1,15,2,1,13,4,7,1990,False,A
1005,50,46-55,False,Travel Rarely,939,Research & Development,24,3,Unknown,4,M,99999,3,4, Manufacturing Director ,3,Married,4161,3,True,0.18,3,4,1,22,2,3,12,1,5,1973,False,A
1024,48,46-55,False,Travel Rarely,1355,Research & Development,4,4,Unknown,3,M,78,2,3, Healthcare Representative ,3,Single,22245,7,Unknown,0.14,3,2,0,27,3,3,15,4,8,1975,True,A
1039,44,36-45,False,Travel Rarely,1448,Sales,28,3,Unknown,4,F,53,4,4, Sales Executive ,4,Married,11737,3,Unknown,0.18,3,3,1,11,2,3,12,11,11,1979,True,A
1225,44,36-45,False,Travel Rarely,200,Research & Development,29,4,Unknown,4,M,32,3,2, Research Scientist ,4,Single,7744,1,Unknown,0.25,4,2,0,11,3,3,20,13,17,1979,True,A
1375,40,36-45,False,Unknown,1202,Research & Development,25,1,Unknown,3,F,89,4,2, Healthcare Representative ,3,Unknown,13888,5,False,0.2,4,2,3,15,0,3,12,11,8,1983,True,A
2090,34,26-35,False,Travel Rarely,404,Research & Development,2,4,Unknown,3,F,98,3,2, Healthcare Representative ,4,Single,6163,1,Unknown,0.11,3,4,0,14,2,4,14,4,11,1989,True,A
2091,35,26-35,False,Non Travel,208,Research & Development,8,4,Unknown,3,F,52,3,2, Healthcare Representative ,3,Unknown,12250,1,Unknown,0.12,3,4,1,11,5,3,14,2,9,1988,True,A
2092,50,46-55,False,Unknown,813,Research & Development,17,5,Life Sciences,4,F,50,2,3, Research Director ,1,Unknown,21981,5,False,0.15,3,3,3,11,3,3,14,1,11,1973,False,B
1661,49,46-55,False,Unknown,465,Research & Development,6,1,Life Sciences,3,F,41,2,4, Healthcare Representative ,3,Unknown,11652,2,Unknown,0.19,3,2,1,11,3,3,15,2,12,1974,True,A
1668,38,36-45,False,Travel Frequently,1189,Research & Development,1,3,Life Sciences,4,M,90,3,2, Research Scientist ,4,Unknown,9867,7,False,0.15,3,4,2,19,4,3,13,2,9,1985,True,A
1698,33,26-35,False,Unknown,99999,Research & Development,21,3,Unknown,2,M,79,4,1, Laboratory Technician ,2,Unknown,13637,1,False,0.18,3,4,3,14,6,3,14,2,13,1990,True,B
2093,47,46-55,False,Travel Rarely,1001,Research & Development,4,3,Life Sciences,3,F,92,2,3, Manufacturing Director ,2,Divorced,19271,8,True,0.12,3,3,1,11,4,3,22,14,10,1976,True,B
1937,38,36-45,False,Unknown,1394,Research & Development,8,3,Unknown,4,F,58,2,2, Research Scientist ,2,Divorced,18115,1,Unknown,0.16,3,3,1,20,3,3,20,0,7,1985,False,B
2017,37,36-45,False,Travel Rarely,161,Research & Development,10,3,Life Sciences,3,F,42,4,3, Research Director ,4,Unknown,15471,1,True,0.25,4,1,1,16,2,3,16,6,8,1986,True,A
117,30,26-35,False,Unknown,288,Research & Development,2,3,Unknown,3,M,99,2,2, Healthcare Representative ,4,Married,15830,1,False,0.19,3,1,3,11,3,3,11,10,8,1993,True,A
131,58,56-65,False,Travel Rarely,682,Sales,18,4,Unknown,4,M,37,3,4, Sales Executive ,3,Single,24409,0,Unknown,0.13,3,3,0,38,1,2,37,1,8,1965,True,A
153,34,26-35,False,Travel Rarely,1354,Unknown,5,3,Unknown,3,F,45,2,3, Manager ,1,Single,5615,2,Unknown,0.12,3,4,0,14,6,3,11,5,8,1989,False,B
2094,43,36-45,False,Unknown,982,Research & Development,12,3,Unknown,1,M,59,2,4, Research Director ,2,Unknown,4345,1,False,0.11,3,3,1,11,3,3,25,3,9,1980,True,B
899,35,26-35,False,Unknown,672,Research & Development,25,3,Technical Degree,4,M,78,2,3, Manufacturing Director ,2,Married,9129,3,False,0.16,3,1,0,11,2,3,13,4,8,1988,False,B
2095,47,46-55,False,Unknown,1379,Research & Development,16,4,Unknown,3,M,64,4,2, Manufacturing Director ,3,Unknown,6759,1,True,0.19,3,3,0,20,3,3,19,2,7,1976,True,A
1014,35,26-35,False,Unknown,583,Research & Development,25,4,Unknown,3,F,57,3,3, Healthcare Representative ,3,Divorced,6975,1,True,0.11,3,3,1,11,3,2,16,10,1,1988,True,A
2096,40,36-45,False,Travel Rarely,1492,Research & Development,20,4,Unknown,1,M,61,3,3, Healthcare Representative ,4,Married,26542,4,Unknown,0.2,4,4,1,14,6,3,11,11,1,1983,True,A
1117,45,36-45,False,Unknown,1050,Sales,9,4,Life Sciences,2,F,65,2,2, Sales Executive ,3,Married,17970,1,Unknown,0.13,3,4,1,15,2,3,15,4,12,1978,False,A
1238,33,26-35,False,Unknown,117,Research & Development,9,3,Medical,1,M,60,3,1, Research Scientist ,4,Married,6311,0,Unknown,0.13,3,2,1,15,5,3,14,4,10,1990,False,A
2097,36,36-45,False,Travel Frequently,469,Research & Development,3,3,Unknown,3,M,46,3,1, Research Scientist ,2,Married,9256,1,False,0.12,3,3,0,12,2,2,11,0,7,1987,False,B
1277,45,36-45,True,Unknown,99999,Unknown,13,3,Marketing,1,F,94,1,5, Manager ,2,Unknown,2493,2,True,0.16,3,1,0,26,2,3,24,1,11,1978,True,B
2098,51,46-55,False,Travel Frequently,237,Unknown,27,3,Unknown,3,M,83,3,5, Manager ,2,Unknown,19196,4,True,0.24,3,1,1,11,5,2,29,11,10,1972,False,B
1666,43,36-45,False,Travel Rarely,1291,Research & Development,15,2,Unknown,3,M,65,2,4, Research Director ,3,Unknown,3525,1,False,0.24,4,1,1,11,3,3,14,6,11,1980,True,A
1696,34,26-35,False,Unknown,1157,Research & Development,5,2,Medical,2,M,57,2,2, Laboratory Technician ,4,Unknown,11912,1,False,0.14,3,3,1,11,3,3,15,4,13,1989,False,A
1805,38,36-45,False,Unknown,1336,Unknown,2,3,Unknown,1,M,100,3,1, Human Resources ,2,Divorced,7129,5,False,0.13,3,4,3,13,3,3,11,3,8,1985,True,B
2099,48,46-55,False,Unknown,1224,Research & Development,10,3,Unknown,4,M,91,2,5, Research Director ,2,Unknown,13583,4,False,0.12,3,4,0,29,3,3,22,12,9,1975,False,B
1932,34,26-35,False,Unknown,735,Research & Development,22,4,Other,3,M,86,2,2, Research Scientist ,4,Married,26496,1,True,0.15,3,2,0,16,3,3,15,6,11,1989,False,A
2016,32,26-35,False,Travel Rarely,99999,Sales,31,4,Unknown,4,F,48,3,3, Sales Executive ,4,Unknown,24032,1,False,0.19,3,3,2,14,3,3,14,5,7,1991,True,A
20,29,26-35,False,Travel Rarely,1389,Research & Development,21,4,Life Sciences,2,F,51,4,3, Manufacturing Director ,1,Divorced,10195,1,False,0.11,3,3,1,10,1,3,10,8,8,1994,False,B
2100,46,46-55,False,Unknown,638,Research & Development,1,3,Medical,3,M,40,2,3, Healthcare Representative ,1,Married,3142,2,True,0.13,3,3,1,21,5,2,10,9,5,1977,False,B
184,30,26-35,False,Unknown,1240,Human Resources,9,3,Unknown,3,M,48,3,2, Human Resources ,4,Married,13982,0,True,0.19,3,4,0,11,2,1,11,4,7,1993,False,A
206,45,36-45,False,Unknown,194,Research & Development,9,3,Life Sciences,2,M,60,3,2, Laboratory Technician ,2,Unknown,10901,8,False,0.18,3,3,1,20,2,3,17,0,15,1978,True,B
228,30,26-35,False,Travel Rarely,1339,Sales,5,3,Unknown,2,F,41,3,3, Sales Executive ,4,Unknown,8053,2,False,0.12,3,3,1,11,2,3,10,7,4,1993,True,A
239,30,26-35,False,Unknown,111,Research & Development,9,3,Unknown,3,M,66,3,2, Laboratory Technician ,1,Unknown,11012,1,False,0.11,3,3,2,12,4,3,12,6,10,1993,True,B
256,34,26-35,False,Travel Frequently,99999,Research & Development,29,1,Unknown,4,M,45,2,2, Manufacturing Director ,3,Married,14074,1,Unknown,0.17,3,3,0,10,2,2,10,1,9,1989,False,A
2101,51,46-55,False,Travel Rarely,1469,Research & Development,8,4,Life Sciences,2,M,81,2,3, Research Director ,2,Married,15736,5,False,0.16,3,4,2,16,5,1,10,4,7,1972,False,B
339,34,26-35,False,Unknown,470,Research & Development,39,4,Life Sciences,4,M,84,2,2, Manufacturing Director ,1,Unknown,23687,6,Unknown,0.13,3,2,1,13,3,3,11,5,9,1989,True,B
406,35,26-35,False,Travel Rarely,1232,Sales,16,3,Unknown,3,M,96,3,3, Sales Executive ,2,Married,5100,0,Unknown,0.15,3,3,2,12,3,2,11,6,9,1988,True,B
2102,45,36-45,False,Travel Frequently,1249,Research & Development,7,3,Life Sciences,1,M,97,3,3, Laboratory Technician ,1,Unknown,20308,1,Unknown,0.18,3,1,1,24,2,3,24,9,11,1978,True,B
429,39,36-45,False,Unknown,117,Unknown,10,1,Unknown,3,M,99,3,4, Manager ,1,Married,5355,1,Unknown,0.14,3,4,0,21,3,3,21,11,10,1984,True,B
2103,31,26-35,False,Unknown,798,Research & Development,7,2,Unknown,3,F,48,2,3, Manufacturing Director ,3,Married,14034,1,False,0.24,4,1,1,10,2,3,10,8,9,1992,False,A
444,39,36-45,False,Unknown,672,Research & Development,7,2,Unknown,3,M,54,2,5, Manager ,4,Married,21141,1,Unknown,0.15,3,1,1,11,2,3,21,13,3,1984,True,A
452,45,36-45,False,Travel Rarely,549,Research & Development,8,4,Unknown,4,M,75,3,2, Research Scientist ,4,Unknown,9278,9,False,0.14,3,1,2,12,3,3,10,9,8,1978,True,A
456,30,26-35,False,Travel Rarely,570,Sales,5,3,Marketing,4,F,30,2,2, Sales Executive ,3,Unknown,5431,1,Unknown,0.13,3,3,3,10,2,3,10,1,2,1993,True,A
2104,31,26-35,False,Unknown,1232,Research & Development,7,4,Medical,3,F,39,3,3, Manufacturing Director ,4,Unknown,25713,1,Unknown,0.14,3,3,0,11,2,2,11,4,10,1992,False,A
481,36,36-45,False,Unknown,541,Sales,3,4,Medical,1,M,48,2,3, Sales Executive ,4,Married,7246,4,False,0.11,3,1,1,16,2,3,13,1,12,1987,True,A
513,36,36-45,False,Travel Rarely,164,Sales,2,2,Unknown,2,M,61,2,3, Sales Executive ,3,Married,3809,1,Unknown,0.13,3,2,2,10,2,3,10,9,0,1987,True,A
597,55,46-55,False,Travel Rarely,1117,Unknown,18,5,Unknown,1,F,83,3,4, Manager ,2,Single,9873,3,False,0.23,4,4,0,37,2,3,10,7,7,1968,True,B
600,35,26-35,False,Unknown,619,Sales,1,3,Unknown,2,M,85,3,2, Sales Executive ,3,Unknown,18659,9,Unknown,0.11,3,3,0,15,2,3,11,6,9,1988,True,A
2105,42,36-45,False,Travel Rarely,319,Research & Development,24,3,Medical,4,M,56,3,3, Manufacturing Director ,1,Married,6950,1,Unknown,0.21,4,4,1,10,5,2,10,5,8,1981,False,B
630,52,46-55,False,Travel Rarely,956,Research & Development,6,2,Unknown,4,M,78,3,2, Research Scientist ,1,Divorced,22087,3,True,0.12,3,2,2,18,3,3,10,6,9,1971,True,B
638,49,46-55,False,Unknown,1245,Research & Development,18,4,Life Sciences,4,M,58,2,5, Research Director ,3,Unknown,2125,1,True,0.17,3,3,1,11,5,3,31,0,9,1974,True,A
683,34,26-35,False,Travel Rarely,1397,Research & Development,1,5,Unknown,2,M,42,3,1, Research Scientist ,4,Married,7660,1,False,0.12,3,4,1,11,4,2,10,8,8,1989,True,A
780,33,26-35,True,Travel Rarely,527,Research & Development,1,4,Other,4,M,63,3,1, Research Scientist ,4,Single,5207,1,Unknown,0.13,3,3,0,10,2,2,10,7,8,1990,False,A
817,33,26-35,False,Unknown,213,Research & Development,7,3,Medical,3,M,49,3,3, Research Director ,3,Married,25995,0,False,0.11,3,4,0,11,3,4,13,3,7,1990,True,A
901,53,46-55,False,Travel Rarely,99999,Research & Development,23,4,Unknown,4,F,72,3,4, Research Director ,4,Unknown,20206,6,False,0.18,3,3,0,33,0,3,12,3,8,1970,True,A
944,49,46-55,False,Travel Rarely,527,Research & Development,8,2,Other,1,F,51,3,3, Laboratory Technician ,2,Married,22477,4,Unknown,0.11,3,3,1,29,3,2,26,1,7,1974,False,B
984,35,26-35,False,Unknown,882,Sales,21,4,Unknown,3,M,99999,3,3, Sales Executive ,4,Unknown,6812,6,Unknown,0.13,3,2,1,11,2,3,10,0,8,1988,False,A
1088,38,36-45,False,Travel Rarely,330,Research & Development,17,1,Life Sciences,3,F,65,2,3, Healthcare Representative ,3,Married,24608,0,Unknown,0.18,3,1,1,20,4,2,19,1,9,1985,False,A
1124,46,46-55,False,Unknown,406,Sales,3,1,Marketing,1,M,99999,3,4, Manager ,3,Married,15596,3,False,0.12,3,4,1,11,3,3,12,4,9,1977,False,A
2106,36,36-45,False,Non Travel,217,Research & Development,18,4,Unknown,1,M,78,3,2, Manufacturing Director ,4,Single,23238,2,Unknown,0.2,4,1,0,18,0,3,11,0,9,1987,False,A
1167,42,36-45,True,Travel Frequently,481,Sales,15,3,Life Sciences,2,M,44,3,4, Sales Executive ,1,Single,2447,0,Unknown,0.12,3,2,0,11,2,2,21,13,14,1981,True,B
1184,34,26-35,False,Travel Frequently,669,Research & Development,1,3,Unknown,4,M,97,2,2, Healthcare Representative ,1,Single,25755,0,False,0.2,4,3,0,14,3,3,13,4,9,1989,True,B
2107,30,26-35,False,Travel Rarely,1465,Research & Development,1,3,Medical,4,M,63,3,1, Research Scientist ,2,Unknown,9369,0,True,0.21,4,1,1,12,2,3,11,5,7,1993,True,B
2108,54,46-55,False,Travel Rarely,685,Research & Development,3,3,Life Sciences,4,M,85,3,4, Research Director ,4,Married,23474,3,False,0.14,3,1,0,36,2,3,10,0,9,1969,True,A
1252,31,26-35,False,Travel Rarely,1062,Research & Development,24,3,Medical,3,F,96,2,2, Healthcare Representative ,1,Single,17198,1,False,0.19,3,2,0,10,2,3,10,1,8,1992,False,B
1267,44,36-45,False,Unknown,1099,Unknown,5,3,Unknown,2,M,88,3,5, Manager ,2,Married,8751,7,False,0.11,3,3,1,26,5,3,22,3,10,1979,True,B
1278,55,46-55,False,Non Travel,177,Research & Development,8,1,Unknown,4,M,37,2,4, Healthcare Representative ,2,Divorced,25592,1,True,0.15,3,4,1,11,3,3,33,15,0,1968,False,B
1288,44,36-45,False,Travel Rarely,1199,Unknown,4,2,Life Sciences,3,M,92,4,5, Manager ,1,Divorced,17477,1,False,0.14,3,4,2,11,4,2,25,14,13,1979,False,B
2109,34,26-35,False,Travel Frequently,648,Human Resources,11,3,Life Sciences,3,M,56,2,2, Human Resources ,2,Unknown,21833,4,False,0.11,3,4,2,14,5,4,10,1,8,1989,True,B
1307,39,36-45,False,Unknown,412,Unknown,13,4,Unknown,3,F,94,2,4, Manager ,2,Divorced,17334,6,True,0.13,3,4,2,11,4,3,19,15,2,1984,False,B
1336,55,46-55,False,Travel Rarely,282,Unknown,2,2,Medical,4,F,58,1,5, Manager ,3,Unknown,6992,4,Unknown,0.14,3,4,1,23,5,3,19,9,11,1968,True,A
