Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,employeecount,employeenumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NUMCOMPANIESWORKED,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TOTALWORKINGYEARS,TrainingTimesLastYear,WORKLIFEBALANCE,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YEARSWITHCURRMANAGER,SameAsMonthlyIncome,DateBirth,Salary,RoleDepartament,NUMBERCHILDREN,RemoteWork
58,Yes,travel_rarely,"286,0$",,2,4,,1,"825,0",4,0,31,3,5, reSeARCh DIrEcToR ,2,Single,"19246,0",25761,7,Y,Yes,12,"3,0",4,,0,"40,0",2,"3,0",31,,13,8,"19246,0",1965,1000000000$,,,0
45,No,non-travel,"1238,0$", Research & Development ,1,1,,1,"1712,0",3,0,74,2,3, heaLtHcArE repResENtATiVe ,3,,"10748,0",3395,3,Y,,23,"4,0",4,,1,"25,0",3,"2,0",23,,14,4,"10748,0",1978,1000000000$, heaLtHcArE repResENtATiVe  -  Research & Development ,,False
33,No,,"515,0$",,1,2,Life Sciences,1,"73,0",1,1,98,3,3, RESEARCH dIrECtor ,4,Single,,15146,1,,Yes,12,"3,0",3,,0,"15,0",1,"3,0",15,,8,12,,1990,1000000000$,,,True
47,No,,"202,0$",,2,2,Other,1,"820,0",3,1,33,3,4, maNagEr ,4,Married,"16752,0",12982,1,,,11,"3,0",3,"80,0",1,,3,"2,0",26,,3,0,"16752,0",1976,1000000000$,,,False
36,No,,"429,0$",,2,4,Life Sciences,1,"1294,0",3,1,53,3,2, MaNufActURing dIrecTOr ,2,Single,,2323,9,Y,Yes,11,"3,0",4,,0,"18,0",2,"3,0",16,,5,12,,1987,1000000000$,,,0
34,No,non-travel,nan$, Sales ,10,3,Life Sciences,1,"1774,0",4,0,87,3,2, saLEs exEcutIVe ,3,,"4001,0",12313,1,Y,Yes,14,"3,0",3,,1,"15,0",3,"3,0",15,,0,7,"4001,0",1989,1000000000$, saLEs exEcutIVe  -  Sales ,,1
forty-seven,No,,"1180,0$", Research & Development ,25,3,Medical,1,"1993,0",1,0,84,3,3, heALthCArE RePResEntaTIVe ,3,,,13084,2,,,23,"4,0",2,,0,"25,0",3,"3,0",17,,12,11,,1976,1000000000$, heALthCArE RePResEntaTIVe  -  Research & Development ,,Yes
53,No,travel_rarely,"1282,0$",,5,3,,1,"32,0",3,1,58,3,5, ManAgER ,3,,,10735,4,,,11,"3,0",4,,1,"26,0",3,"2,0",14,,4,8,,1970,1000000000$,,,Yes
35,No,,"776,0$",,1,4,Marketing,1,"100,0",3,0,32,2,2, salEs EXeCUtIvE ,1,Single,,23016,0,Y,No,14,,2,"80,0",0,"16,0",2,"3,0",15,,2,8,,1988,1000000000$,,,0
46,No,travel_rarely,"526,0$",,1,2,,1,"244,0",2,1,92,3,3, SALEs eXECuTive ,1,Divorced,,2137,1,,No,25,"4,0",3,,3,"24,0",2,"3,0",24,,15,7,,1977,1000000000$,,,Yes
43,No,,"1034,0$",,16,3,,1,"327,0",4,1,80,3,4, ManagEr ,4,Married,"16064,0",7744,5,,,22,"4,0",3,,1,"22,0",3,"3,0",17,,1,9,"16064,0",1980,1000000000$,,,1
36,No,,"1403,0$", Research & Development ,6,3,Life Sciences,1,"373,0",4,0,47,3,1, lABORAtOry tECHnIcIan ,4,Married,"3210,0",20251,0,,,11,"3,0",3,,1,"16,0",4,"3,0",15,,10,11,"3210,0",1987,1000000000$, lABORAtOry tECHnIcIan  -  Research & Development ,,True
40,No,travel_frequently,"580,0$",,5,4,,1,"729,0",4,0,48,2,3, saLes eXEcUTIVE ,1,Married,"10475,0",23772,5,,Yes,21,"4,0",3,"80,0",1,"20,0",2,"3,0",18,,1,12,"10475,0",1983,1000000000$,,,0
32,No,travel_rarely,"859,0$",,4,3,,1,"830,0",3,1,98,2,2, maNufactUring DIrEcToR ,3,Married,"6162,0",19124,1,Y,No,12,"3,0",3,"80,0",1,"14,0",3,"3,0",14,,6,8,"6162,0",1991,1000000000$,,,0
36,Yes,travel_rarely,"885,0$",,16,4,,1,"1042,0",3,1,43,4,1, LABorAToRY tECHnIciAN ,1,Single,,8269,1,Y,,16,"3,0",3,"80,0",0,"18,0",1,"3,0",17,,15,14,,1987,1000000000$,,,Yes
46,No,,"1003,0$",,8,4,Life Sciences,1,"1080,0",4,1,74,2,2, RESEarch SCIenTisT ,1,Divorced,"4615,0",21029,8,,Yes,23,"4,0",1,,3,,2,"3,0",16,,1,7,"4615,0",1977,1000000000$,,,0
38,No,travel_rarely,"1321,0$",,1,4,,1,"1995,0",4,0,86,3,2, SalES exECUTIve ,2,Married,,7636,0,,No,15,"3,0",1,,2,"16,0",3,,15,,5,8,,1985,1000000000$,,,1
51,No,,nan$,,1,4,,1,"145,0",1,1,30,2,3, heAltHCare rEPrESEntaTIvE ,1,Single,,25796,3,,,20,"4,0",3,,0,"23,0",1,"2,0",13,,12,8,,1972,1000000000$,,,True
43,No,,"394,0$",,26,2,,1,"158,0",3,0,92,3,4, maNaGeR ,4,Married,"16959,0",19494,1,,Yes,12,"3,0",4,"80,0",2,"25,0",3,"4,0",25,,4,12,"16959,0",1980,1000000000$,,,1
37,No,,"1372,0$",,1,3,Life Sciences,1,"391,0",4,1,42,3,1, ResEARCh SciENTist ,4,Single,,15881,1,,No,12,"3,0",2,"80,0",0,,3,"3,0",17,,5,7,,1986,1000000000$,,,Yes
32,No,travel_rarely,nan$,,8,2,Technical Degree,1,"436,0",3,1,65,2,2, salES ExecuTIve ,2,Married,,24624,1,,Yes,11,"3,0",4,"80,0",0,,2,"3,0",13,"12,0",11,9,,1991,1000000000$,,,True
46,No,,"228,0$",,3,3,Life Sciences,1,"1527,0",3,1,51,3,4, mAnAgER ,2,,,11380,8,,No,12,"3,0",4,"80,0",1,"23,0",2,"4,0",13,,5,1,,1977,1000000000$,,,Yes
43,No,,"823,0$",,6,3,Medical,1,"1866,0",1,1,81,2,5, MaNAGEr ,3,Married,,22539,7,,No,13,"3,0",4,,0,"21,0",2,"3,0",16,,6,14,,1980,1000000000$,,,Yes
56,No,non-travel,"667,0$",,1,4,Life Sciences,1,"2026,0",3,0,57,3,2, hEALThcArE REPrESeNTATive ,3,Divorced,,26236,1,Y,No,21,,1,,1,,2,"2,0",13,,1,9,,1967,1000000000$,,,Yes
38,No,,"573,0$",,6,3,Medical,1,"107,0",2,1,79,1,2, rEseARch SCieNtIsT ,4,,,15717,7,Y,,12,"3,0",4,,3,"17,0",3,"3,0",13,,1,9,,1985,1000000000$,,,Yes
49,No,,nan$,,-26,4,Medical,1,"170,0",3,1,96,3,2, maNufActUrInG DIrECtOr ,1,,,5549,1,,No,14,"3,0",3,,0,"16,0",2,"2,0",15,,5,11,,1974,1000000000$,,,0
40,No,,"630,0$",,4,4,,1,"215,0",3,0,67,2,3, SALES eXECUtiVE ,4,Married,"10855,0",8552,7,Y,No,11,,1,,1,"15,0",2,"2,0",12,,2,11,"10855,0",1983,1000000000$,,,Yes
36,No,,nan$,,5,2,,1,"304,0",4,0,62,3,2, lAboratORy TeChNiCiaN ,2,Single,"5914,0",9945,8,Y,No,16,"3,0",4,"80,0",0,"16,0",3,"4,0",13,,3,7,"5914,0",1987,1000000000$,,,1
37,No,,"1063,0$",,25,5,,1,"529,0",2,1,72,3,2, RESEaRCh sCIENtIst ,3,Married,,23866,3,Y,Yes,15,"3,0",1,"80,0",2,"15,0",2,"3,0",13,,10,7,,1986,1000000000$,,,0
35,No,,"1017,0$",,6,4,,1,"691,0",2,0,82,1,2, REsEarcH sCieNTISt ,4,,"6646,0",19368,1,Y,,13,"3,0",2,,0,,3,"3,0",17,,11,8,"6646,0",1988,1000000000$,,,Yes
48,No,travel_rarely,"1355,0$",,4,4,,1,"1024,0",3,0,78,2,3, HEaLthcAre REPrEsEntaTIvE ,3,Single,,22245,7,,,14,,2,"80,0",0,"27,0",3,"3,0",15,"11,0",4,8,,1975,1000000000$,,,Yes
44,No,travel_rarely,"1448,0$", Sales ,28,3,,1,"1039,0",4,1,53,4,4, SaleS eXEcUtIVE ,4,Married,"13320,0",11737,3,,,18,"3,0",3,"80,0",1,,2,"3,0",12,,11,11,"13320,0",1979,1000000000$, SaleS eXEcUtIVE  -  Sales ,,1
44,No,travel_rarely,"200,0$",,29,4,,1,"1225,0",4,0,32,3,2, reseaRCH ScIEntIst ,4,Single,,7744,1,Y,,25,"4,0",2,,0,,3,"3,0",20,,13,17,,1979,1000000000$,,,Yes
49,No,,"465,0$",,6,1,Life Sciences,1,"1661,0",3,1,41,2,4, healthcArE repReSEnTaTive ,3,,,11652,2,,,19,"3,0",2,"80,0",1,,3,"3,0",15,,2,12,,1974,1000000000$,,,Yes
38,No,travel_frequently,"1189,0$",,1,3,Life Sciences,1,"1668,0",4,0,90,3,2, reSeARch sCientIst ,4,,"4735,0",9867,7,Y,No,15,"3,0",4,"80,0",2,"19,0",4,,13,,2,9,"4735,0",1985,1000000000$,,,True
33,No,,nan$,,21,3,,1,"1698,0",2,0,79,4,1, lAbOrAtory tecHnIciaN ,2,,,13637,1,,No,18,"3,0",4,,3,"14,0",6,,14,,2,13,,1990,1000000000$,,,True
38,No,,"1394,0$", Research & Development ,8,3,,1,"1937,0",4,1,58,2,2, rESeArCH sCientIST ,2,Divorced,,18115,1,,,16,"3,0",3,,1,"20,0",3,"3,0",20,,0,7,,1985,1000000000$, rESeArCH sCientIST  -  Research & Development ,,0
37,No,travel_rarely,"161,0$",,10,3,Life Sciences,1,"2017,0",3,1,42,4,3, ResEarCh dIReCtOr ,4,,,15471,1,,Yes,25,"4,0",1,,1,"16,0",2,"3,0",16,,6,8,,1986,1000000000$,,,Yes
30,No,,"288,0$",,2,3,,1,"117,0",3,0,99,2,2, hEALtHcare REpREsenTAtiVe ,4,Married,,15830,1,,No,19,,1,"80,0",3,"11,0",3,"3,0",11,,10,8,,1993,1000000000$,,,Yes
fifty-eight,No,travel_rarely,"682,0$",,-18,4,,1,"131,0",4,0,37,3,4, saLes ExECutiVE ,3,Single,"13872,0",24409,0,,,13,"3,0",3,,0,"38,0",1,"2,0",37,,1,8,"13872,0",1965,1000000000$,,,1
34,No,travel_rarely,"1354,0$",,5,3,,1,"153,0",3,1,45,2,3, mAnagER ,1,Single,,5615,2,,,12,"3,0",4,"80,0",0,"14,0",6,"3,0",11,,5,8,,1989,1000000000$,,,0
35,No,,"672,0$",,25,3,Technical Degree,1,"899,0",4,0,78,2,3, MaNUFACTuRing dirECTOr ,2,Married,,9129,3,Y,No,16,,1,,0,,2,"3,0",13,,4,8,,1988,1000000000$,,,0
35,No,,"583,0$", Research & Development ,25,4,,1,"1014,0",3,1,57,3,3, HEAltHCaRe REPreseNTatIve ,3,Divorced,,6975,1,,Yes,11,,3,,1,,3,"2,0",16,,10,1,,1988,1000000000$, HEAltHCaRe REPreseNTatIve  -  Research & Development ,,1
45,No,,"1050,0$", Sales ,9,4,Life Sciences,1,"1117,0",2,1,65,2,2, SaLeS eXECUTivE ,3,Married,,17970,1,Y,,13,"3,0",4,"80,0",1,"15,0",2,"3,0",15,,4,12,,1978,1000000000$, SaLeS eXECUTivE  -  Sales ,,0
33,No,,"117,0$", Research & Development ,9,3,Medical,1,"1238,0",1,0,60,3,1, reSeARCH SCIEnTiST ,4,Married,,6311,0,Y,,13,"3,0",2,,1,"15,0",5,"3,0",14,,4,10,,1990,1000000000$, reSeARCH SCIEnTiST  -  Research & Development ,,False
45,Yes,,nan$,,-13,3,Marketing,1,"1277,0",1,1,94,1,5, maNAger ,2,,,2493,2,,Yes,16,"3,0",1,,0,"26,0",2,"3,0",24,,1,11,,1978,1000000000$,,,True
43,No,travel_rarely,"1291,0$", Research & Development ,15,2,,1,"1666,0",3,0,65,2,4, ReSearch DiRecTOR ,3,,,3525,1,,No,24,"4,0",1,,1,,3,"3,0",14,,6,11,,1980,1000000000$, ReSearch DiRecTOR  -  Research & Development ,,1
34,No,,"1157,0$",,5,2,Medical,1,"1696,0",2,0,57,2,2, LABoRATOry teChnicIan ,4,,,11912,1,Y,No,14,"3,0",3,,1,,3,,15,,4,13,,1989,1000000000$,,,0
38,No,,"1336,0$",,2,3,,1,"1805,0",1,0,100,3,1, huMan RESOURcEs ,2,Divorced,,7129,5,,No,13,"3,0",4,,3,"13,0",3,"3,0",11,,3,8,,1985,1000000000$,,,1
34,No,,"735,0$", Research & Development ,22,4,Other,1,"1932,0",3,0,86,2,2, resEaRCh SciEnTist ,4,Married,"5747,0",26496,1,,Yes,15,"3,0",2,,0,"16,0",3,"3,0",15,,6,11,"5747,0",1989,1000000000$, resEaRCh SciEnTist  -  Research & Development ,,False
29,No,travel_rarely,"1389,0$",,21,4,Life Sciences,1,"20,0",2,1,51,4,3, maNufaCturing direcTOr ,1,Divorced,,10195,1,Y,No,11,"3,0",3,,1,"10,0",1,"3,0",10,,8,8,,1994,1000000000$,,,0
30,No,,"1240,0$", Human Resources ,9,3,,1,"184,0",3,0,48,3,2, hUmaN REsoUrCes ,4,Married,"6347,0",13982,0,,Yes,19,"3,0",4,"80,0",0,,2,"1,0",11,,4,7,"6347,0",1993,1000000000$, hUmaN REsoUrCes  -  Human Resources ,,0
45,No,,"194,0$",,9,3,Life Sciences,1,"206,0",2,0,60,3,2, LaboRaTORY TechnICiAn ,2,,"2348,0",10901,8,Y,No,18,"3,0",3,,1,"20,0",2,,17,,0,15,"2348,0",1978,1000000000$,,,Yes
30,No,travel_rarely,"1339,0$",,5,3,,1,"228,0",2,1,41,3,3, SalES ExeCuTIVe ,4,,,8053,2,Y,No,12,"3,0",3,,1,,2,"3,0",10,,7,4,,1993,1000000000$,,,True
30,No,,"111,0$",,9,3,,1,"239,0",3,0,66,3,2, lABOrAtorY tEcHNICian ,1,,"3072,0",11012,1,Y,No,11,,3,"80,0",2,"12,0",4,"3,0",12,,6,10,"3072,0",1993,1000000000$,,,Yes
34,No,travel_frequently,nan$,,-29,1,,1,"256,0",4,0,45,2,2, manUFACTuRiNg dIrECToR ,3,Married,,14074,1,,,17,"3,0",3,,0,"10,0",2,"2,0",10,,1,9,,1989,1000000000$,,,False
35,No,travel_rarely,"1232,0$",,16,3,,1,"406,0",3,0,96,3,3, Sales ExEcUTIvE ,2,Married,"8020,0",5100,0,Y,,15,"3,0",3,,2,"12,0",3,"2,0",11,,6,9,"8020,0",1988,1000000000$,,,1
39,No,,"117,0$",,10,1,,1,"429,0",3,0,99,3,4, ManageR ,1,Married,"17068,0",5355,1,,,14,,4,,0,"21,0",3,"3,0",21,,11,10,"17068,0",1984,1000000000$,,,Yes
39,No,,"672,0$", Research & Development ,7,2,,1,"444,0",3,0,54,2,5, manAgER ,4,Married,"19272,0",21141,1,Y,,15,"3,0",1,,1,,2,"3,0",21,,13,3,"19272,0",1984,1000000000$, manAgER  -  Research & Development ,,True
45,No,travel_rarely,"549,0$",,8,4,,1,"452,0",4,0,75,3,2, RESearCH scienTIST ,4,,,9278,9,Y,No,14,"3,0",1,"80,0",2,"12,0",3,"3,0",10,,9,8,,1978,1000000000$,,,True
30,No,travel_rarely,"570,0$", Sales ,5,3,Marketing,1,"456,0",4,1,30,2,2, SaLES eXeCUtIVE ,3,,,5431,1,,,13,"3,0",3,,3,"10,0",2,"3,0",10,,1,2,,1993,1000000000$, SaLES eXeCUtIVE  -  Sales ,,Yes
36,No,,"541,0$",,3,4,Medical,1,"481,0",1,0,48,2,3, SAles exEcUtivE ,4,Married,,7246,4,Y,No,11,"3,0",1,,1,"16,0",2,"3,0",13,,1,12,,1987,1000000000$,,,True
36,No,travel_rarely,"164,0$",,2,2,,1,"513,0",2,0,61,2,3, saLes eXECUTIVE ,3,Married,,3809,1,,,13,"3,0",2,,2,"10,0",2,"3,0",10,,9,0,,1987,1000000000$,,,True
55,No,travel_rarely,"1117,0$",,18,5,,1,"597,0",1,1,83,3,4, MAnAgER ,2,Single,,9873,3,Y,No,23,"4,0",4,,0,"37,0",2,"3,0",10,,7,7,,1968,1000000000$,,,1
35,No,,"619,0$",,1,3,,1,"600,0",2,0,85,3,2, SAles exEcutiVE ,3,,,18659,9,Y,,11,"3,0",3,,0,"15,0",2,"3,0",11,,6,9,,1988,1000000000$,,,1
52,No,travel_rarely,"956,0$",,6,2,,1,"630,0",4,0,78,3,2, RESEarCh sCiENTIst ,1,Divorced,"5577,0",22087,3,Y,Yes,12,,2,,2,"18,0",3,"3,0",10,,6,9,"5577,0",1971,1000000000$,,,Yes
49,No,,"1245,0$",,18,4,Life Sciences,1,"638,0",4,0,58,2,5, reseArcH DIRectOr ,3,,,2125,1,,Yes,17,"3,0",3,,1,,5,"3,0",31,,0,9,,1974,1000000000$,,,1
34,No,travel_rarely,"1397,0$", Research & Development ,1,5,,1,"683,0",2,0,42,3,1, reSEarCH scIentISt ,4,Married,"2691,0",7660,1,,No,12,"3,0",4,"80,0",1,,4,"2,0",10,,8,8,"2691,0",1989,1000000000$, reSEarCH scIentISt  -  Research & Development ,,Yes
33,Yes,travel_rarely,"527,0$",,1,4,Other,1,"780,0",4,0,63,3,1, rESearCh SCiEnTIST ,4,Single,,5207,1,Y,,13,"3,0",3,"80,0",0,"10,0",2,"2,0",10,,7,8,,1990,1000000000$,,,0
33,No,,"213,0$", Research & Development ,7,3,Medical,1,"817,0",3,0,49,3,3, ReSeARCh DiRECtor ,3,Married,,25995,0,,No,11,"3,0",4,,0,,3,"4,0",13,,3,7,,1990,1000000000$, ReSeARCh DiRECtor  -  Research & Development ,,True
53,No,travel_rarely,nan$,,23,4,,1,"901,0",4,1,72,3,4, RESEARcH DirecToR ,4,,,20206,6,Y,No,18,"3,0",3,,0,"33,0",0,"3,0",12,,3,8,,1970,1000000000$,,,1
49,No,travel_rarely,"527,0$",,8,2,Other,1,"944,0",1,1,51,3,3, LAboRatORY TeCHNicIAn ,2,Married,"7403,0",22477,4,,,11,"3,0",3,,1,"29,0",3,"2,0",26,,1,7,"7403,0",1974,1000000000$,,,0
38,No,travel_rarely,"330,0$",,17,1,Life Sciences,1,"1088,0",3,1,65,2,3, heAlThCARE rEpreSentaTIVE ,3,Married,"8823,0",24608,0,,,18,"3,0",1,,1,"20,0",4,"2,0",19,,1,9,"8823,0",1985,1000000000$,,,0
34,No,travel_frequently,"669,0$",,1,3,,1,"1184,0",4,0,97,2,2, HEAlTHcaRe rEpreseNTatIvE ,1,Single,,25755,0,,No,20,"4,0",3,,0,"14,0",3,"3,0",13,,4,9,,1989,1000000000$,,,1
31,No,travel_rarely,"1062,0$",,24,3,Medical,1,"1252,0",3,1,96,2,2, HeALThCARE rEPreSENTAtivE ,1,Single,,17198,1,,No,19,,2,,0,"10,0",2,"3,0",10,,1,8,,1992,1000000000$,,,False
44,No,,"1099,0$",,5,3,,1,"1267,0",2,0,88,3,5, MANAGEr ,2,Married,"18213,0",8751,7,,No,11,"3,0",3,"80,0",1,"26,0",5,"3,0",22,,3,10,"18213,0",1979,1000000000$,,,True
55,No,non-travel,"177,0$",,8,1,,1,"1278,0",4,0,37,2,4, HeaLtHCARe rEPREsEnTATIVE ,2,Divorced,"13577,0",25592,1,Y,Yes,15,"3,0",4,,1,,3,"3,0",33,,15,0,"13577,0",1968,1000000000$,,,False
44,No,travel_rarely,"1199,0$",,4,2,Life Sciences,1,"1288,0",3,0,92,4,5, manAger ,1,Divorced,"19190,0",17477,1,Y,No,14,"3,0",4,,2,,4,"2,0",25,,14,13,"19190,0",1979,1000000000$,,,False
39,No,,"412,0$",,13,4,,1,"1307,0",3,1,94,2,4, mANaGeR ,2,Divorced,"17123,0",17334,6,,Yes,13,"3,0",4,,2,,4,"3,0",19,,15,2,"17123,0",1984,1000000000$,,,0
55,No,travel_rarely,"282,0$",,2,2,Medical,1,"1336,0",4,1,58,1,5, MANagER ,3,,"19187,0",6992,4,Y,,14,,4,,1,"23,0",5,"3,0",19,,9,11,"19187,0",1968,1000000000$,,,True
51,No,,"770,0$",,5,3,Life Sciences,1,"1352,0",3,0,84,3,4, manAGeR ,2,,,17588,1,Y,,11,"3,0",2,"80,0",1,,2,"3,0",33,,0,10,,1972,1000000000$,,,True
29,No,travel_rarely,"332,0$", Human Resources ,17,3,,1,"1419,0",2,0,51,2,3, HUmAN rESOuRceS ,1,Single,"7988,0",9769,1,Y,,13,"3,0",1,,0,,3,"2,0",10,,0,9,"7988,0",1994,1000000000$, HUmAN rESOuRceS  -  Human Resources ,,False
34,No,,"1326,0$",,3,3,Other,1,"1478,0",4,0,81,1,2, sAles ExecUTiVE ,1,Single,,15891,3,,No,18,,4,"80,0",0,"15,0",2,"3,0",13,,3,12,,1989,1000000000$,,,1
42,No,travel_frequently,"748,0$",,9,2,,1,"1480,0",1,1,74,3,1, lABoRAtoRY TECHNicIAN ,4,,,16458,1,,,13,"3,0",3,,0,"12,0",3,"3,0",12,,5,8,,1981,1000000000$,,,Yes
34,Yes,travel_rarely,"790,0$",,24,4,,1,"1489,0",1,1,40,2,2, sAles EXecutiVE ,2,Single,,7815,0,Y,Yes,23,"4,0",3,,0,"16,0",2,"4,0",15,,10,10,,1989,1000000000$,,,0
54,No,travel_frequently,"1050,0$",,11,4,Medical,1,"1520,0",2,1,87,3,4, manaGeR ,4,,,24456,3,Y,No,20,,1,,1,"26,0",2,"3,0",14,,1,12,,1969,1000000000$,,,1
34,No,travel_rarely,"971,0$",,1,3,,1,"1535,0",4,0,64,2,3, saLEs exEcUTiVE ,3,,"7083,0",12288,1,Y,,14,"3,0",4,"80,0",0,,3,"3,0",10,,8,6,"7083,0",1989,1000000000$,,,0
29,No,,"1370,0$",,3,1,Medical,1,"1586,0",2,0,87,3,1, lAboratorY tecHNIciAN ,1,Single,"4723,0",16213,1,,,18,"3,0",4,,0,,3,,10,,1,5,"4723,0",1994,1000000000$,,,True
35,No,travel_rarely,"750,0$",,28,3,Life Sciences,1,"1596,0",2,0,46,4,2, LAboraTORy TEcHNiCIAN ,3,,"3407,0",25348,1,,,17,,4,,2,,3,"2,0",10,,6,8,"3407,0",1988,1000000000$,,,True
35,Yes,,"880,0$",,12,4,Other,1,"1667,0",4,0,36,3,2, Sales ExecUtIVe ,4,,,10414,3,,,24,"4,0",1,,0,"13,0",2,"4,0",11,,6,7,,1988,1000000000$,,,True
34,No,travel_rarely,"678,0$",,19,3,Life Sciences,1,"1701,0",2,1,35,2,1, rEseaRcH SCienTist ,4,Married,"2929,0",20338,1,,No,12,"3,0",2,,0,"10,0",3,"3,0",10,,8,7,"2929,0",1989,1000000000$,,,1
43,No,,"1179,0$",,2,3,,1,"1706,0",4,0,73,3,2, Sales eXEcUtIVE ,4,,,6069,1,Y,Yes,17,"3,0",1,,1,"10,0",3,"3,0",10,,8,8,,1980,1000000000$,,,False
43,No,travel_rarely,"574,0$",,11,3,Life Sciences,1,"1971,0",1,0,30,3,3, hEALThcarE RepReSeNTAtIve ,3,Married,,16873,1,Y,,17,"3,0",2,,1,"10,0",1,"3,0",10,,0,9,,1980,1000000000$,,,1
42,No,,nan$, Research & Development ,23,2,,1,"1976,0",4,0,37,2,2, ReSeARch scIENTISt ,3,Single,,14811,1,Y,,12,"3,0",4,"80,0",0,"20,0",2,"3,0",20,,3,7,,1981,1000000000$, ReSeARch scIENTISt  -  Research & Development ,,True
40,No,,"692,0$",,11,3,Technical Degree,1,"1985,0",4,1,73,3,2, LABORaTorY TECHniciaN ,3,Married,,26849,1,,,11,,1,,1,"10,0",2,"4,0",10,,9,4,,1983,1000000000$,,,True
56,Yes,,"310,0$", Research & Development ,7,2,Technical Degree,1,"2032,0",4,0,72,3,1, LaBoRaTorY TeChNicIAn ,3,Married,,3666,8,Y,No,11,"3,0",4,"80,0",1,"14,0",4,"1,0",10,,9,8,,1967,1000000000$, LaBoRaTorY TeChNicIAn  -  Research & Development ,,Yes
30,No,travel_frequently,"721,0$",,1,2,,1,"57,0",3,1,58,3,2, LABOrATorY TechNIcIaN ,4,,,10781,1,,,23,"4,0",4,,0,"12,0",2,,12,,3,7,,1993,1000000000$,,,Yes
30,No,travel_rarely,"852,0$",,1,1,Life Sciences,1,"104,0",4,0,55,2,2, LaboraTOry TEcHniCiAN ,4,Married,"5126,0",15998,1,,,12,"3,0",3,,2,,1,,10,,3,0,"5126,0",1993,1000000000$,,,0
46,Yes,,"669,0$", Sales ,9,2,Medical,1,"118,0",3,0,64,2,3, saLES ExECuTIVe ,4,,"9619,0",13596,1,,No,16,"3,0",4,,0,"9,0",3,"3,0",9,,4,7,"9619,0",1977,1000000000$, saLES ExECuTIVe  -  Sales ,,False
